index,PDE_100,Act_100,PDE_100_D,PDE_delta_100,PDE_120,Act_120,PDE_120_D,PDE_delta_120
40,7.960145611,7.965567455,8.534269503,0.574123891,2.149924713,2.147298811,2.354601449,0.204676736
41,7.960274293,7.965567455,8.533982347,0.573708054,2.152419638,2.147298811,2.352242762,0.199823125
42,7.960397008,7.965567455,8.533703999,0.573306991,2.154114564,2.147298811,2.357104205,0.202989641
43,7.960514169,7.965567455,8.533434013,0.572919843,2.155074848,2.147298811,2.361147865,0.206073016
44,7.96062614,7.965567455,8.533171967,0.572545827,2.155360165,2.147298811,2.364436825,0.20907666
45,7.960733261,7.965567455,8.532917476,0.572184214,2.155025056,2.147298811,2.367028854,0.212003798
46,7.960835839,7.965567455,8.532670174,0.571834336,2.154119431,2.147298811,2.368976919,0.214857488
47,7.960934156,7.965567455,8.532429725,0.571495569,2.152689008,2.147298811,2.370329637,0.217640629
48,7.961028474,7.965567455,8.532195813,0.571167339,2.150775705,2.147298811,2.371131677,0.220355972
49,7.96111903,7.965567455,8.53196814,0.57084911,2.148418001,2.147298811,2.371424128,0.223006127
50,7.961206045,7.965567455,8.53174643,0.570540384,2.145651247,2.147298811,2.371244819,0.225593572
51,7.961289724,7.965567455,8.531530422,0.570240698,2.142507952,2.147298811,2.370628612,0.22812066
52,7.961370253,7.965567455,8.531319873,0.569949619,2.139018037,2.147298811,2.369607667,0.23058963
53,7.961447808,7.965567455,8.531114551,0.569666743,2.139597355,2.147298811,2.368211676,0.228614322
54,7.961522551,7.965567455,8.530914241,0.569391691,2.142833324,2.147298811,2.366468078,0.223634754
55,7.96159463,7.965567455,8.530718739,0.569124109,2.145569074,2.147298811,2.36440225,0.218833175
56,7.961664187,7.965567455,8.530527852,0.568863665,2.147834634,2.147298811,2.362037681,0.214203047
57,7.961731351,7.965567455,8.530341399,0.568610048,2.149658087,2.147298811,2.359396133,0.209738046
58,7.961796244,7.965567455,8.530159208,0.568362963,2.151065707,2.147298811,2.356497779,0.205432071
